,vocab,meaning
386,compelling,a.引起兴趣的
387,agitate,v.搅动，煽动；使不安，使焦虑
388,acerbic,a.苦涩的；刻薄的
389,propitious,a.吉利的；顺利的
390,dismay,n.沮丧，气馁；v.使气馁
391,sanction,n./v.批准，认可
392,slack,a.懒散的，懈怠的；(绳)松弛的；v.松懈，怠惰
393,moribund,a.即将结束的；垂死的
394,overt,a.公开的，非秘密的
395,obstinate,a.固执的，倔强的
396,revenge,n.报复，报仇
397,viable,a.可行的；能活下去的
398,perspicuity,n.明晰；聪明睿智
399,plush,a.豪华的
400,sanity,n.神志清楚
401,interim,n.中间时期，过渡时期；a.暂时的
402,reel,n.卷轴，旋转；v.卷…于轴上
403,cessation,n.中止，(短暂的)停止
404,guile,n.欺诈，狡猾
405,apposite,a.适当的，恰当的
406,supercilious,a.目中无人的
407,repine,v.不满，心中抱怨
408,imposing,a.壮丽的，雄伟的
409,spiny,a.针状的；多刺的，棘手的
410,credulous,a.轻信的，易信的
411,heckle,v.诘问，困扰
412,invective,n.猛烈抨击，痛骂
413,annul,v.宣告无效；取消
414,invoke,v.祈求；恳求；(法律的)实施生效
415,repel,v.击退，使…反感
416,monarch,n.君主，帝王
417,reproach,n.谴责，责骂
418,rebuff,v.断然拒绝
419,veto,n.否决，禁止
420,fatuous,a.愚昧而不自知的
421,discretionary,a.自由决定的
422,ungainly,a.笨拙的
423,spur,v.刺激，激励；用马刺刺马
424,intensify,v.加剧
425,sift,v.筛，过滤
426,surpass,v.超过
427,ragged,a.破烂的
428,miscreant,n.恶棍，歹徒
429,restitution,n.归偿；赔偿
430,susceptible,a.易受影响的，脆弱的
431,sly,a.狡猾的，鬼鬼祟祟的
432,stature,n.身高，身材
433,surmise,n.推测，猜测；v.推测
434,leery,a.机警的，怀疑的
435,temerity,n.鲁莽，大胆
436,humiliate,v.使屈辱
437,ensue,v.继而发生
438,turpitude,n.邪恶，卑鄙(行为)
439,satirize,v.讽刺
440,nauseate,v.使作呕，使厌恶
441,court,n.法庭；v.献殷勤；追求
442,terse,a.简洁的，简明的
443,reconcile,v.和解，调和
444,babble,v.胡言乱语；牙牙学语；喋喋不休
445,machination,n.阴谋
446,eavesdrop,v.偷听，窃听
447,contempt,轻视，鄙视
448,circumscribe,"v.限制,外接"
449,jog,v.慢而平静地前进
450,novice,n.生手，新手
451,inch,v.慢慢前进，慢慢移动
452,clandestine,a.秘密的，偷偷摸摸的
453,peck,v.啄食；轻啄
454,philistine,n.庸人，市侩
455,rescind,v.废除，取消
456,incinerate,v.焚化，毁弃
457,wry,a.扭曲的；冷嘲性幽默的
458,inflame,v.使燃烧；激怒(某人)
459,impunity,n.免除惩罚
460,bargain,n.交易; 物美价廉的东西；v.讨价还价
461,rein,n.缰绳；v.控制
462,vaccinate,v.给…接种疫苗
463,nourish,v.滋养，怀有(希望等)
464,careworn,a.饱经风霜的，受忧虑折磨的
465,univocal,a.意思明确的
466,permeable,a.可渗透的(penetrable)
467,relentless,a.无情的，残酷的
468,paean,n.赞美歌，颂歌
469,umbrage,n.不快，愤怒
470,adjourn,v.使延期，推迟；休会
471,proffer,n./v.献出，赠送；提议，建议
472,volition,n.决断力，意志
473,secrete,v.隐藏；分泌
474,stomach,v.吃得下；容忍
475,naysay,v.拒绝，说不
476,evict,v.(依法)驱逐
477,extricate,v.拯救，救出
478,credence,n.相信，信任
479,airtight,a.密闭的，不透气的
480,levelheaded,a.头脑冷静的，稳健的
481,paucity,n.小量，缺乏
482,curt,a.(言词、行为)简略而草率的
483,accede,v.同意
484,prophetic,a.先知的，预言的，预示的
485,lank,a.瘦削的；长而软的
486,unwonted,a.不寻常的，不习惯的
487,imbroglio,n.纠纷，纠葛
488,preface,n.序言
489,petty,a.琐碎的；小心眼的
490,appropriate,v.拨款；盗用；a.恰当的
491,sham,n.虚假；v.伪装
492,mettle,n.勇气，斗志
493,barbarous,a.野蛮的；残暴的
494,venial,a.(错误等)轻微的，可原谅的
495,nudge,v.(用肘)轻触，轻推
496,ream,n.令(纸张的计数单位)
497,aspirant,n.有抱负者
498,ingenious,a.聪明的，有发明天才的
499,extort,v.强索，敲诈
500,adhere,v.粘着 stick
501,stigmatize,v.污蔑，玷污
502,sabotage,n.阴谋破坏，颠覆活动
503,rite,n.(宗教的)仪式
504,skimp,v.节省花费
505,turncoat,n.背叛者，变节者
506,acumen,n.敏锐，精明
507,chicanery,n.诡计，狡诈
508,mandatory,a.命令的，强迫的
509,conscientious,a.尽责的；小心谨慎的，一丝不苟的
510,indict,v.控诉，起诉
511,clumsy,a.笨拙的
512,chauvinistic,a.盲目爱国的
513,husk,n.外壳；皮，荚
514,repeal,v.废除(法律)
515,jolt,v.颠簸着移动；n.震动，摇晃
516,erratic,a.反复无常的；古怪的
517,abrogate,v.废止，废除
518,ossify,v.硬化，骨化；使(传统)僵化
519,provisional,a.暂时的，临时的
520,ruffle,v.弄皱；激怒；n.皱边(装饰衣服)
521,chord,n.和弦，和音
522,adulate,v.谄媚，奉承
523,revolt,v.叛乱，造反；反感
524,fortify,v.加强防卫
525,infuriate,v.使(人)极为愤怒
526,expostulate,v.(对人或行为进行)抗议，告诫
527,curmudgeon,n.脾气暴躁之人
528,precursor,n.先驱，先兆
529,knit,v.编织
530,incarnate,a.具有肉体的；化身的
531,earsplitting,a.震耳欲聋的
532,assiduous,a.勤勉的；专心的
533,tentative,a.试探性的，尝试性的
534,threadbare,a.磨破的，陈腐的
535,catholic,a.广泛的；宽宏大量的
536,flaccid,a.松弛的；软弱的
537,deliberate,a.深思熟虑的，故意的；v.慎重考虑
538,mutter,v.咕哝，嘀咕
539,irate,a.发怒的
540,luxurious,a.奢侈的，豪华的
541,proclaim,v.宣告，宣布；显示
542,ignominy,n.羞耻，屈辱
543,regress,v.使倒退，复原，逆行
544,mime,n.哑剧表演；哑剧(演员)
545,aphorism,n.格言
546,providential,a.幸运的；恰到好处的
547,stoic,n.坚忍克己之人
548,irk,v.使苦恼的，厌烦
549,scrutable,a.可以理解的
550,dissuade,v.劝阻，阻止
551,saunter,n./v.闲逛，漫步
552,sedate,a.镇静的
553,squelch,v.压制，镇压
554,macerate,v.浸软；消瘦
555,xenophobe,n.惧外者；排外者
556,exasperate,v.激怒，使恼怒
557,polemic,n.争论，论战
558,prosperous,a.繁荣富强的
559,consonant,a.调和的，一致的
560,scribble,v.乱写，乱涂
561,vagary,n.奇想，异想天开
562,promulgate,v.颁布(法令)；宣传
563,dire,a.可怕的
564,concur,v.意见相同，一致
565,philanthropic,a.博爱的
566,mesh,v.用网捕捉；齿合
567,infuse,v.灌输；鼓励
568,applicable,a.可适用的，适合的
569,preach,v.传教，讲道
570,kindred,a.同类的，种族的
571,lumber,v.蹒跚而行，笨拙地走；n.杂物；木材
572,authentic,a.真正的；法律证实的
573,discursive,a.散漫的，无层次的
574,murky,a.黑暗的；朦胧的
575,precipitate,v.加速，促成；a.鲁莽的
576,judicious,a.有判断力的；明智的
577,momentum,n.推进力，势头
578,cement,n.水泥；胶粘剂；v.粘合，巩固
579,filibuster,v./n.妨碍议事，阻挠
580,squall,n.短暂、突然且猛烈的风暴；短暂的骚动
581,meditate,v.沉思，反省
582,venerate,v.崇敬，敬仰
583,dart,n.飞镖；v.急驰；投射
584,strut,v.趾高气扬地走；n.支柱
585,boon,n.恩惠，天赐福利
586,sullen,a.忧郁的
587,glower,v.怒目而视
588,ineluctable,a.不能逃避的
589,gallant,a.勇敢的；(向女人)献殷勤的
590,forebode,v.预感，凶兆
591,euphoria,n.幸福愉快感
592,arresting,a.显著的，引人注意的
593,charisma,n.(大众爱戴的)领袖气质；魅力
594,solicitous,a.热切的；挂念的
595,exotic,a.珍奇的；来自异国的
596,refute,v.驳斥
597,discomfit,v.使懊恼；使难堪
598,dupe,n.易上当的人
599,rift,n.裂口，断裂；矛盾
600,outmoded,a.不再流行的
601,cacophony,n.难听的音调
602,tranquility,n.宁静，安静
603,provenance,n.(艺术等的)出处，起源
604,detritus,n.碎屑；废墟
605,elucidate,v.阐明，说明
606,ingrained,a.根深蒂固的
607,stint,v.吝惜，节省
608,dolorous,a.悲哀的，忧愁的
609,grumble,v.喃喃诉苦，发怨言
610,retaliate,v.报复，反击
611,safeguard,n.防范措施
612,aggrandize,v.增大，扩张；吹棒
613,coda,n.乐曲的尾声
614,denounce,v.指责
615,resilience,n.弹性，弹力
616,seemly,a.得体的，适宜的
617,craven,a.懦弱的，畏缩的
618,requite,v.报答；报复
619,debark,v.下船，下飞机，下车，卸载
620,skirt,v.环绕，逃避
621,toy,v.不认真考虑，玩弄
622,immure,v.监禁
623,graft,v./n.嫁接；贪污
624,bore,v.钻孔；使厌烦；n.孔；令人厌烦的人
625,fussy,a.爱挑剔的
626,requisite,n.必需物；a.必要的
627,hypothetical,a.假设的
628,dispassionate,a.平心静气的
629,bait,n.诱饵；v.逗弄；激怒
630,commonplace,a.平常的
631,impenetrable,a.不能穿透的；不可理解的
632,chagrin,v./n.失望，懊恼
633,secular,a.世俗的，尘世的
634,measured,a.精确的；慎重的
635,omniscient,a.无所不知的，博识的
636,rive,v.撕开，分裂
637,explicate,v.详细解说
638,catharsis,n.宣泄，净化
639,besmirch,v.诽谤，玷污
640,sparing,a.节俭的
641,perfidy,n.不忠，背叛
642,conform,(to)v.遵从，顺应
643,emancipate,v.解放，解除
644,chivalrous,a.侠义的；对女人彬彬有礼的
645,ordeal,n.严峻考验，痛苦经验
646,spate,n.大批，大量；(水)泛滥
647,sinew,n.腱，肌肉)；力量
648,trumpet,n.喇叭，小号
649,abash,v.使害羞，使尴尬
650,nominal,a.名义上的，有名无实的
651,grisly,a.恐怖的，可怕的
652,brook,n.小溪
653,pejorative,a.带有轻蔑意义的，贬低的
654,relish,n.味道；喜好；v.喜好，享受
655,headlong,adj./adv.轻率的(地)，迅猛的(地)
656,torpid,a.懒散的，死气沉沉的
657,limp,v.跛行；a.软弱的，松软的
658,hasten,v.催促，促进
659,lament,v./n.悲伤；哀悼
660,fleeting,a.短暂的，飞逝的
661,dodder,v.蹒跚，摇摆
662,rampant,a.蔓生的，猖獗的
663,cleave,v.劈开；分裂
664,constitute,v.组成，构成；建立
665,sage,a.智慧的；n.智者
666,imperturbable,a.冷静的，沉着的
667,bedeck,v.装饰，修饰
668,intercessor,n.仲裁者
669,rant,v.咆哮；口出狂言
670,instigate,v.发起，煽动
671,glutinous,a.粘的，胶状的
672,compliant,a.服从的，顺从的
673,bolster,n.枕垫；v.支持，鼓励
674,protean,a.变化多端的，多变的
675,cantankerous,a.脾气坏的，爱争吵的
676,blast,>n.一阵(大风)；冲击波；v.爆破；枯萎
677,proliferate,v.繁殖；激增
678,charlatan,n.江湖郎中，骗子
679,desultory,a.不连贯的，散漫的
680,blunt,a.钝的；直率的；v.变钝
681,outset,n.开始，开头
682,exuberant,a.(人)充满活力的(植物)茂盛的
683,drone,v.嗡嗡地响，单调地说；n.单调的低音
684,antagonize,v.使对抗；与…对抗
685,deter,v.威慑，吓住；阻止
686,aspect,n.(问题等的)方面；面貌，外表
687,distinctive,a.出众的，有特色的
688,mollycoddle,v.过分爱惜，娇惯；n.娇生惯养的人
689,plaintive,a.可怜的，伤心的
690,smirk,v.假笑，得意地笑
691,accord,v./n.同意；一致
692,dogged,a.顽强的
693,predestine,v.注定
694,impenitent,a.不悔悟的
695,savant,n.博学之士，大学士
696,specious,a.似是而非的；华而不实的
697,inter,v.埋葬
698,prowess,n.勇敢；不凡的能力
699,encompass,v.包围，围绕
700,respite,n.休息；暂缓
701,loll,v.懒洋洋地坐或卧
702,instate,v.任命，安置
703,innovative,a.革新的
704,palatial,a.宫殿般的；宏伟的
705,remnant,n.残余物；零头布料
706,manumit,v.解放(奴隶)
707,watershed,n.分水岭，转折点
708,sop,n.泡过的食品；安慰品
709,malfeasance,n.不法行为，渎职
710,homogenize,v.使均匀，使一致
711,fickle,a.(爱情或友谊上)易变的，不坚定的
712,florid,a.华丽的；(脸)红润的
713,bogus,a.假装的，假的
714,viscid,a.粘性的
715,calculated,a.计算出的，精心策划的，蓄意的
716,recondite,a.深奥的
717,prospect,v.勘探；n.期望；前景
718,illuminati,n.先觉者，智者
719,impugn,v.指责，对…表示怀疑
720,impending,a.行将发生的，逼近的
721,simulate,v.假装，模仿
722,chasm,n.深渊，裂沟；巨大差别(鸿沟)
723,effulgent,a.灿烂的
724,engender,v.产生，引起
725,obloquy,n.大骂，斥责
726,brash,audacious
727,caricature,n.讽刺画；滑稽模仿
728,cosset,v.宠爱，溺爱
729,infraction,n.违法
730,innocuous,a.(行为，言论等)无害的
731,issue,v.出来，流出；发给，分发；n.(书刊的)期
732,mania,n.癫狂；狂热
733,extenuate,v.掩饰(罪行)，减轻罪过
734,tractable,a.易于驾驭的，温顺的
735,off-key,a.走调的，不和谐的
736,mangle,v.毁损；撕成碎片，压碎
737,lull,n.活动的暂停；v.使平静
738,inalienable,a.不可剥夺的
739,quack,n.冒充内行之人；庸医
740,throng,n.一大群；v.拥挤
741,reverberate,v.起回声，反响
742,agility,n.敏捷
743,mitigate,v.减轻，缓和
744,orthodox,a.正统的
745,corroborate,v.支持或证实；强化
746,implement,n.工具，器具；v.实现，实施
747,propitiate,v.讨好；抚慰
748,pulverize,v.压成细粉；彻底击败
749,blatant,a.公然的，显眼的；喧哗的
750,barb,n.(鱼钩的)倒钩；严厉的批评
751,somatic,a.肉体的
