,vocab,meaning
4146,hence,ad 从此，因此，所以，本来
4147,pollutant,n 污染物（尤指放入水中和空气中的有害的化学物质）
4148,implement,1 n 工具；器具2 v 执行，履行
4149,deprive,v 剥夺，使不能享受
4150,explicit,a 明白的，明确的（[opp]implicit）；直爽的，不隐讳的
4151,background,n 后景，背景；基本情况；衬托音乐，伴音
4152,exocrine,a&n 外分泌（的）
4153,dense,a 密集的，（物质等）密度大的，（人口等）稠密的
4154,prospect,n 眼界，风景，景色；展望
4155,negate,v 否定，否认；取消，使无效
4156,burrow,v 打（地洞），掘（穴）；掘成
4157,tailor,n 裁缝  v 缝制（衣服）；供应服装
4158,cellular,a 细胞的，细胞质（状）的
4159,surge,n&v 汹涌；（感情等）起伏，高涨
4160,backward,a&ad 向后的（地），相反的（地）
4161,belief,n 信，信任；相信（in）；信仰，信心
4162,varnish,n 清漆  v 给……上清漆
4163,clerk,n 办事员，职员；（商店的）店员
4164,parrot,n 鹦鹉；学舌者
4165,coarse,a 粗糙的（[opp]fine）；粗鲁的，粗俗的
4166,offshore,a&ad 向海面吹的（地）；离岸的（地）；海面上的（地）
4167,neutral,1 a [化][电]中性的；中和的；不带电的2 a 不鲜艳的，暗淡的；非彩色的（指灰、黑或白色的）
4168,exaggerate,v 夸张，夸大
4169,haul,v （用力）拽，牵，拖，拖运
4170,foster,v 助长，鼓励，促进
4171,besiege,v 围，保卫，围困，围攻
4172,blend,v 混合，搀合，混杂，掺杂
4173,belong,v 属，属（某人）所有，应归入（某）部类（to，among，in，under，with）
4174,lengthen,v 延长，伸长，拉长
4175,jelly,n （透明）冻（胶），胶状物，果冻，肉冻
4176,satisfy,v 使满足，使满意，符合（标准），达到（要求）
4177,massive,a 大规模的；大量的；大的，重的；大块的
4178,credit,1 v 归（功于某人）2 n 名誉，名望，声望
4179,naked,a 裸体的；露出的
4180,physician,n 医生，内科医生
4181,brilliance,n 光彩，光辉，光泽，[光]亮度
4182,congestion,n 拥挤；充斥；充血
4183,gap,n 裂缝；豁口，缺口
4184,axis,n 轴，轴线
4185,disseminate,v 传播，散布，普及
4186,brief,a （时间）短暂的，（文体的）简洁的，（答复等）简短的
4187,rumor,n&v 谣言，传闻，流言；[常用被动语态]谣传
4188,claw,n （动物的）爪；（蟹等的）钳
4189,shrub,n 灌木，灌木丛
4190,magnify,v 扩大，放大；夸张，夸大
4191,domestic,a 家里的；国内的，本国的
4192,tan,v 鞣（革），硝（皮）；使晒成棕褐色
4193,battery,n [电]电池（组）
4194,widespread,a 广泛的，普遍的
4195,cosmic,a 宇宙的
4196,pivot,v 把……放在枢轴上，旋
4197,breach,v （对法律、义务等的）破坏；违背，不履行
4198,reinforce,v 增强，加固；补充，增加
4199,lithosphere,n 岩石圈，陆界
4200,outward,ad 向外，在外，表面上（[opp]inward）
4201,score,1 n 刻痕；裂缝；记号2 n 总谱，乐谱；（电影歌舞等的）配乐
4202,generate,v 生殖，生育，产生，发生
4203,accommodate,1 v 适应，调节2 v 留宿，招待
4204,glare,n 闪耀，闪光；炫目的光，强烈的光
4205,academy,n 学会，研究院
4206,fairly,ad 适当地，相当地
4207,rhythm,n 节奏；韵律
4208,utilize,v 利用
4209,breed,v 繁殖；育种
4210,lumber,n 木材，木料，方料；（英国）原木
4211,tame,v 驯服，制服  a 驯服的，温顺的
4212,submerge,v 使浸在水中，潜水；沉没，淹没；消失
4213,radiate,v 辐射；向周围扩展
4214,interior,a&n 内（的）；内部（的）（[opp]exterior）
4215,hesitate,v 犹豫，踌躇；不愿，含糊，支吾
4216,stress,1 n 压力，压迫，紧迫，紧张2 v 着重，强调，加重语气说
4217,edge,n 边缘，边界
4218,radical,1 a 激烈的；彻底的2 a 激进的
4219,vital,a 重大的，紧要的
4220,petroleum,n 石油
4221,restrict,v 限制，限定
4222,administrate,v 管理；支配
4223,juice,n （菜蔬、果实、植物等的）汁，液，浆
4224,herb,n 草，草本植物
4225,frost,n 霜；霜柱；结霜；冰冻
4226,render,1 v 致使……；使变成……2 v 表现，描写
4227,fragile,a 脆的，易碎的
4228,unravel,v 解开，拆散，拆
4229,polished,a 擦亮的，光亮的，磨光的
4230,practical,1 a 有实效的；可行的2 a [贬]只讲实用的
4231,exhibit,n&v 陈列（品），展览（品）
4232,mock,v 嘲弄，愚弄；嘲笑，挖苦
4233,distinguish,v 区别；辨别，识别，判别
4234,glaze,v 镶玻璃于，装玻璃于，打光，擦亮；给……上釉
4235,access,1 n 进路，入口2 v 接近
4236,tension,1 n 张力，拉力，牵力2 n （精神、局势等）紧张（[opp]relief）
4237,praise,n&v 称赞；赞扬，表扬
4238,conservation,n 保存，维持（健康），保护（森林、河道、动物等）
4239,temple,n 庙，寺，圣堂，神殿
4240,inner,a （最高级为：innermost；inmost）内部的（[opp]outer）
4241,terminal,1 n 终点（站）2 a 终端的，终点的，结尾的
4242,nourishing,a 有营养的
4243,breakdown,n 崩溃，倒塌；故障
4244,strip,1 n 条带，长条；条板；带状地带2 v 剥光；除去，剥夺
4245,sandy,a 沙的，沙质的，多沙的
4246,aggressive,a 好斗的，敢做敢为的，有进取心的，行动积极的
4247,sprawl,n 蔓延  v （难看地）爬行
4248,invariable,a 不变的；守恒的  n [数]不变量，常数
4249,symphony,n 交响乐，交响曲
4250,merchant,n 商人  a 商人的；商业的
4251,articulate,n 节体动物  a 有关节的；有节的；接合起来的  v 用关节连接
4252,confront,v （困难等）横阻在……的面前
4253,genetic,a 遗传（学）上的，发生的，发展的；创始的
4254,peninsula,n 半岛
4255,regular,1 a 有规律的；有秩序的；正规的，正式的2 a 定期的，定时的，常例的，习惯的
4256,vaccinate,v （给……）接种（疫苗）
4257,smell,n 气味；嗅觉
4258,vanish,v 消失不见
4259,smooth,1 v 把……弄平滑（光滑）；使流利，使流畅  a 平滑的，流畅的2 v 使容易；消除（障碍等）
4260,delicate,a 精巧的，精致的；（仪器）灵敏的
4261,maneuver,v 调动，部署；用策略使……，用计使……  n 调动，部署；策动，谋略
4262,practitioner,n 从业者（尤指医生、律师等），老手
4263,intricate,a 精致的；复杂的
4264,inanimate,a 无生气的，没精打采的
4265,opinion,n 意见；看法；见解；[常pl]主张
4266,prior,a 在前的；优先的（to）（[opp]posterior）
4267,studio,n 工作室
4268,virtually,ad 实际上，实质上，事实上
4269,abnormal,a 反常的，变态的，不规则的
4270,collective,a 集合的；共同的
4271,Mesozoic,a&n 中生代（的），中生代岩石（的）
4272,layout,n 规划设计，布局图，版面设计
4273,prose,n 散文（[opp]verse），平凡，单调，普通
4274,disperse,v 使疏散，使散开；驱散（云、雾等）
4275,midair,n 半空中
4276,counterpart,n 相对物，对应物
4277,vent,n 裂口；通风孔
4278,lawn,n 草地，草坪，草场
4279,reptile,n 爬行动物
4280,flock,n （禽、畜等的）群，羊群
4281,defeat,1 v 打败（敌人）；使受挫折2 n 战败，失败；挫折
4282,impervious,a 不可渗透的，穿不过的，透不过的
4283,toothed,a （装）有牙齿的；锯齿状的（[opp]smoothed）
4284,reel,n （棉纱、电线等的）卷轴
4285,react,v 反应；发生反作用；反抗
4286,broadcast,a 播散的；广泛散布的，播音的，广播的
4287,rocky,a 岩石的；岩石重叠的，岩石多的
4288,belt,n 带，皮带；线条
4289,publicize,v 发表，公布；宣传，为……做广告
4290,optimal,a 最适宜的；最理想的；最好的（[opp]pessimal）
4291,patriot,n 爱国者；爱国主义者
4292,regime,n 制度，社会组织；政权，政体
4293,recreation,n 休养；娱乐，消遣
4294,shower,n 阵雨；（风雪等的）一阵；淋浴
4295,dioxide,n 二氧化物
4296,ration,v （按额定分量）配给
4297,cease,n&v 停，终止
4298,orderly,a 有秩序的，有规则的
4299,coordinate,a 同等的，同位的
4300,private,a 私的，私人的，秘密的；保密的
4301,season,v 风干；晒干（木材）；晾干
4302,flexible,a 灵活的
4303,stove,n 火炉，电炉，加热器
4304,therapy,n 疗法；疗效
4305,dazzling,a 晃眼睛的，灿烂的
4306,demolish,v 拆毁（建筑物等），毁坏，破坏（组织等）
4307,wool,n 羊毛；绒线
4308,prairie,n 大草原，牧场，草原地带
4309,blazing,a 炽烈燃烧的，灿烂的；明显的，显著的
4310,irrigate,v 灌溉
4311,adjacent,a 毗邻的，邻近的
4312,convey,v 表达（意义）；输送；搬运
4313,merciless,a 冷酷无情的，狠心的，残忍的
4314,tributary,a&n 纳贡（的）；从属（的），附庸的（国等）；支流（的）
4315,amateur,n 业余者，爱好者
4316,potent,a 强有力的；有势力的，有效力的；烈性的
4317,tongue,n 舌；舌状物
4318,ballet,n 芭蕾舞，舞剧
4319,fracture,n&v （使）破裂；（使）折断；（使）断裂
4320,clip,n 剪去，剪短，修剪
4321,notice,n&v 注意；认识
4322,mode,n 方式；模式；样式，习惯
4323,moment,n 片刻，瞬息
4324,reject,v 拒绝，抵制，驳回，否决（[opp]accept）
4325,snowflake,n 雪花
4326,droplet,n 小滴
4327,interact,v 相互作用，相互影响
4328,impart,v 告诉，通知（to）；给予，把……分给，传授（to）
4329,sodium,n 钠
4330,realm,n 领域，区域，范围
4331,scent,n 气味  v 发出气味，闻出气味
4332,runoff,n （被雨水）冲走的东西，流走之物
4333,autobiography,n 自传；自传文学
4334,slice,v 把……切成薄片  n 薄片，一片；一部分
4335,quarry,n 采石场，石坑，石矿
4336,verse,n 韵文（[opp]prose）；诗
4337,formulate,v 把……做成公式，用公式表示
4338,ragged,a 粗糙的
4339,magma,n （矿物、有机物等的）稀糊状混合物；岩浆；稠液
4340,wispy,a 细微的
4341,embellish,v 装饰，修饰，美化
4342,estimate,v 估计，估算
4343,portray,v 画（人物、风景），画（肖像），描绘；描写；描述
4344,undertake,v 承担；承办；着手，从事
4345,border,n 边缘，边沿，框，边界，国界，国境
4346,lava,n 熔岩；火山岩
4347,extol,v （-ll-）赞美，称赞，颂扬；吹捧
4348,bulk,n 体积，容积，大小
4349,handful,n 少数，少量，一小撮
4350,review,n&v 回顾，评论；再验查；检查
4351,supreme,a 最高的，无上的，最优秀的，最重要的
4352,neck,n 颈，脖子；（器物的）颈状部
4353,quilt,n 被子，棉被，鸭绒被
4354,excavate,v 掘出，发掘
4355,sewerage,n 下水道（系统），排水（系统）
4356,scramble,1 n&v 爬上去，攀登；攀缘2 v 拼凑
4357,vivid,a （光、色）鲜明的；生动的
4358,medicine,n 医药；内服药；医学，医术；内科（治疗）（[opp]surgery）
4359,way,ad ……得多，远
4360,eloquent,a 雄辩的，善辩的，有口才的，有说服力的
4361,hurl,n&v 猛投，猛掷
4362,barren,a&n （土地）荒芜（的）（[opp]fertile）
4363,incessant,a 不停的，不断的
4364,supplant,v 排挤掉，代替
4365,underlie,v （-lay；-lain；-lying）位于……下面；成为……的基础
4366,manual,n 手册；说明书；指南
4367,sunlit,a 太阳照着的，太阳晒着的
4368,herald,v 预示，预报
4369,thorny,a 多刺的，有针的；像刺的；刺丛繁茂的
4370,bumblebee,n 大黄蜂，土蜂，野峰
4371,wary,a 小心的，留神的；谨慎的
4372,glow,v 灼热；发白热光；燃烧，放光，发热
4373,mystery,n 神秘，秘密；神秘的事物
4374,refine,1 v 精炼，精制；纯化，提纯2 v 使优美，使精致；琢磨（文章等），推敲
4375,prototype,n 原型；典型；样板；模范，标准
4376,consistent,a 一致的，不矛盾的
4377,fog,n 雾
4378,exhilarating,a 使人高兴的，令人兴奋的
4379,irreversible,a 不可逆的
4380,receiver,n 接收器，接受者
4381,scar,v 使留伤痕，使留痕迹  n 伤痕；疤；痕迹
4382,barge,n 大平底船，驳船
4383,interpret,v 理解，解释；翻译
4384,humorous,a 有幽默感的，诙谐的，可笑的
4385,protest,n 声明，断言，抗议
4386,intestine,n （常[pl]）肠
4387,rote,n 机械方法；刻板办法；死记，死背
4388,protagonist,n （戏剧的）主角；（小说的）主人翁，领导者
4389,launch,1 v 发射；投出；提出，发出2 v 开办，创办；发动，发起；开展
4390,pianist,n 钢琴家；钢琴师
4391,plantation,n 农场，种植园
4392,myth,n 神话；神怪故事
4393,earnest,a&n 热心（的）；诚挚（的），真挚（的），认真（的）
4394,fundamental,a 基础的，基本的；根本的
4395,asphalt,n 沥青，柏油
4396,shine,v 明显流露
4397,intent,n 意图；目的
4398,complement,n&v 补足（物）；补全
4399,synchronous,a 同时的，同期的；同步的
4400,colony,1 n 殖民地2 n [动]（鸟、蚁、蜜蜂等的）集团，群
4401,wane,v （月）缺损，亏；（[opp]wax）；（光、势力等）衰落，衰微；减少
4402,nickel,n 镍
4403,embrace,v 拥抱，抱；参加
4404,crab,n 蟹
4405,lubrication,n 润滑，油润，上油；润滑作用
4406,refurbish,v 再刷新；整修；翻新
4407,segment,n 部分，节，段  v 分割，分裂
4408,adapt,v 使适应，使适合
4409,penalty,n 刑罚，惩罚，罚款，报应
4410,tendency,1 n 倾向，趋势2 n 性情，偏好
4411,remark,v 评论，谈论，议论
4412,tactics,n 战术；策略
4413,stationary,a 静止的，不变的；固定的
4414,lone,a 孤独的；无人烟的，人迹稀少的
4415,logical,a 逻辑的，逻辑上的；合乎逻辑的
4416,photograph,v 为……照相，为……摄影
4417,suspend,1 v 悬挂；悬空；悬浮2 v 中止，暂时停止，暂时作废
4418,regulate,v 调节（温度、速度等）；管制，控制
4419,episode,n （一系列事件中的）一个事件
4420,disaster,n 天灾，灾害；不幸，事故
4421,entrance,n 入口，大门
4422,architecture,n 建筑学；建筑（样式、风格）；建筑物
4423,ultraviolet,a&n 紫外线（的）
4424,balance,n&v 平衡，均衡，对称
4425,advent,n （季节、事件等的）到来，出现
4426,fist,n 拳头
4427,undermine,v 掘……的下面，削弱……的基础
4428,staircase,n 楼梯；楼梯间（室）
4429,wreck,n 失事船；残骸  v 使（船只）遇险（失事）
4430,trouble,n 麻烦；困难，艰难
4431,proponent,n 支持者；主张者，辩护者（[opp]opponent）
4432,rifle,n 步枪；来福枪
4433,deposit,1 v 放置，安置；储蓄2 n&v 淤积，沉淀；附着
4434,breathe,v 呼吸，活着，生存
4435,can,n 罐头  v 制罐头
4436,nonsense,n 无意义的话，荒谬（荒唐）话，胡说；废话
4437,snap,1 v 猛扑2 v 突然折断
4438,secret,a&n 秘密（的）；机密（的）；秘诀（的）
4439,forge,v 打（铁），锻制
4440,desirable,a 理想的，希望到手的；称心的，令人满意的
4441,meager,a 瘦的；（土地）不毛的；思想贫乏的
4442,hardship,n 艰难，困苦
4443,relevant,a 有关的；适当的，贴切的，中肯的
4444,terrible,a 非常的，厉害的，极度的
4445,steady,a 稳固的，稳定的，不变的
4446,distribute,v 分配，分给；分布，散布（over）
4447,postage,n 邮费
4448,modest,a 有节制的，适度的，适中的；谨慎的，谦虚的
4449,cast,1 v 浇铸，铸造2 v 丢弃，抛弃；脱掉（衣服）；（蛇）脱（皮），（鸟）换（毛），（鹿）换（角）；（树）落（叶）；（马）脱落（铁掌）
4450,sugar,n 糖；[化]糖（即碳水化合物）
4451,storage,n 贮藏（量），存储（量）；（仓库）保管
4452,mosaic,a&n 马赛克（的），镶嵌细工（的），拼花艺术（的），拼花图样（的），拼制物（的）
4453,setting,1 n 安装；装配；装置；安放2 n 背景；（花园的）布置；环境
4454,handle,v 处理；讨论（问题）
4455,traffic,n 交通，运输；交往；交流
4456,bust,n 半身像，胸像
4457,eligible,a 胜任的，合格的，适当的
4458,reproduce,1 v 生殖，繁殖2 v 再演；再版；转载；翻印3 v 复制；再生产；再现
4459,legend,n 传说；神话
4460,tectonics,n 筑造学，构造学
4461,spontaneous,a 自发的，自动的；非勉强的
4462,jolt,n&v 颠簸，摇晃
4463,iceberg,n 冰山
4464,tenant,n 租屋人，房客
4465,televise,v 电视播送，实况播送
4466,precursor,n 前辈，前驱；预兆，先兆
4467,skull,n 颅骨，头骨，脑壳，头盖骨
4468,erect,v 使直立，树立
4469,genuine,a 真正的，坦率的，真诚的，真心诚意的
4470,proclaim,v 宣布，公布，宣告，声明；表示
4471,transplant,n&v 移植（皮肤等）
4472,substantial,a 实质的，真正的
4473,raft,n 筏
4474,anticipate,v 预期，预料，预测；指望，期待
4475,extinct,a （生物）已绝种的，已灭绝的
4476,offensive,n 进攻，攻势
4477,blade,n （壳、草等的）叶片，叶身；刀片；刀口，刃
4478,mandate,1 n&v 命令，指令2 n [法]财产委托；（国际上）委托管理
4479,tire,v 疲倦，使疲倦；使厌倦
4480,devour,v 狼吞虎咽地吃；挥霍
4481,monotonous,a 单调的，无变化的
4482,presence,n 存在，实在；出席，列席，到场
4483,façade,n [建]正面；外表，外观；（掩饰真相的）门面
4484,tough,1 a 强韧的，弯折不断的（[opp]weak）2 a 不屈不挠的，坚强的；顽固的，固执的
4485,alkali,n （[pl]alkali（e）s）碱；强碱
4486,psychologist,n 心理学者；心理学家
4487,circular,a 园的，圆（环）形的
4488,gifted,a 有天才的，天赋的
4489,silence,n 沉默，无言；无表示；无声，沉静，肃静，寂静
4490,fluctuate,v 波动，起伏
4491,acre,1 n 英亩2 n 地产，土地，耕地
4492,gradient,n 倾斜度，坡度，梯度，陡度
4493,bacteria,n [pl]（[sing]bacterium）细菌
4494,overwhelm,v 压倒；压服；推翻
4495,dot,v （-tt-）点缀
4496,retail,a&n&v 零售（的）（[opp]wholesale）
4497,submit,v 提交；委托，提出，提供；请求判断
4498,tenement,n （几户合住的低级）公共住宅
4499,thrive,v 兴旺，繁荣；茁壮成长，繁茂，蔓延
4500,steep,1 a 陡急的，峻峭的，险峻的2 a 急剧升降的，急转直下的
4501,evoke,v 唤起；引起，招致
4502,version,n 版本；形式
4503,trap,v 设陷阱捕捉，诱捕，使受限制  n 陷阱
4504,race,1 n&v 竞赛2 n 种族
4505,cater,v 迎合，投合（to）
4506,accident,n 故障，事故，偶发事件；偶然
4507,separately,ad 分别地，个别地，分离地
4508,trait,n 特色，特点，特征；性格；脾气；容貌
4509,inviting,a 引人注目的，吸引人的
4510,blossom,n 花（特指果树花）；群花，开花时期；（发育的）初期
4511,dwarf,n 矮小的（动）植物  v 使矮小，使相形见绌
4512,heal,v 医治，治愈（病伤等），使恢复；使和解
4513,sterile,a 贫瘠的，无生殖力的，毫无结果的
4514,nail,n 钉子
4515,expressive,a 富于表情的；意味深长的
4516,traditional,ad 传统上，照惯例
4517,tune,1 n 曲调，调子2 n 和谐，调谐，调和3 v 校准（乐器的）音调，调整，使调和
4518,integrate,v 使成整体，使并入，使一体化，使结合起来
4519,ore,n 矿石，含有金属的矿石
4520,sketch,v 草拟，勾画，描画，描述  n 草图，素描，概略，大意
4521,barter,n 物物交换，换货，实物交易
4522,tropic,n 热带（地区）
4523,identify,v 辨认，识别
4524,genus,n 种类，类，属
4525,biography,n 传，传记
4526,kingdom,n 王国
4527,lung,n 肺脏，肺；（无脊椎动物的）呼吸器官；辅助呼吸的装置
4528,deteriorate,v 弄坏，使恶化；堕落
4529,allude,v 暗指，暗示
4530,troupe,1 n 剧团，戏班子；马戏团2 n 一团，一班，一伙
4531,endure,v 忍耐，忍受；容忍
4532,ring,1 n 环，环形物2 v 围住，包围
4533,decompose,v （使）分解，分析；（使）腐烂；衰变
4534,balcony,n 露台，阳台，（剧场二楼）楼座
4535,oral,a 口头的；口的；口腔发声的
4536,mood,n （一时的）心情，情绪
4537,frame,n 机构；组织  v 构造；给……装框子
4538,lease,n 租契，租约；租借权；租借物；租借期限
4539,reflection,n 反映；反影，（映在水等中的）影像
4540,portable,a 可搬运的；便于携带的；手提式的，轻便的
4541,reduction,1 n 简化，约简2 n 缩小，减少；降级，降位
4542,acquaint,v 使熟悉，了解[多用被动语态]
4543,silica,n 硅石，硅土
4544,derive,v 得到，导出（from）
4545,widow,n 寡妇
4546,household,a&n 家庭（的），一家（的）
4547,protein,n 朊， 蛋白（质）
4548,eager,a 渴望的，极想的，热衷的（after；about；for）
4549,portrait,n 肖像，肖像画；相片
4550,transcend,v 超出，超过（经验、理性、信念、理解力等）
4551,census,n 人口普查
4552,ware,n 制品，成品，器皿，物件
4553,habitat,n （动、植物生长的）自然环境（地区）；住所，居住地
4554,context,n （事情等的）范围，场合，处境
4555,solve,v 解释，解答，解决
4556,hydrogen,n 氢
4557,trivial,a 琐细的，轻微的；平常的，平凡的（[opp]crucial）
4558,astronomy,n 天文学
4559,electron,n 电子
4560,apprentice,n 学徒
4561,consequence,n 结果，重要（性）；重大意义
4562,attain,v 达到，获得
4563,poet,n 诗人
4564,precise,a 准确的，精确的
4565,nonetheless,ad&conj 仍然（还），不过；（尽管如此）还是
4566,plaza,n 广场；集市场所；购物中心
4567,candidate,n 候选人；候补人
4568,sink,1 v 下沉，下陷2 v 衰颓，沦落，败落，堕落
4569,turbulent,a 骚乱的；动荡的
4570,admire,v 赞美，称赞；惊异（at）
4571,nutrition,n 营养（作用），滋养；营养物，食物
4572,stabilize,v （使）稳定；（使）固定
