,vocal,meaning
0, abase,lower; degrade; humiliate; make humble; make (oneself) lose self-respect
146,aloof,apart; not open in one's relationship with other people; reserved; ADV.
147,altercation,noisy quarrel
148,altruistic,unselfishly generous; concerned for others; N. altiruism: unselfish concern for the welfare of others; unselfishness; OP. egoism
149,amalgam,combination of different things; mixture of metals (containing mercury) used for filling holes in teeth
150,amalgamate,(of societies or groups) combine; unite in one body
151,amass,"collect (gradually, in a very large amount)"
152,amazon,female warrior
153,ambidextrous,capable of using either hand with equal ease
154,ambience,environment; atmosphere; Ex. restraurant with a pleasant ambience; ADJ. ambient: completely surrounding; Ex. ambient temperature
155,ambiguous,unclear or doubtful in meaning; having more than one possible interpretation
156,ambivalence,the state of having contradictory or conflicting emotional attitudes or opinions
157,amble,walking at an easy unhurried pace; V: walk slowly and aimlessly
158,ambrosia,food of the gods
159,ambulatory,able to walk
160,ambush,act of lying in wait to attack by surprise; sudden attack made from a concealed position; Ex. lie in ambush; V.
161,ameliorate,improve
162,amenable,obedient; compliant; readily managed; responsive; willing to be led; answerable or accountable legally; responsible; able to be tested by; Ex. amenable to sensible suggestions; Ex. He is very amenable; Ex. amenable to the usual tests
163,amend,correct; change ; generally for the better
164,amenities,convenient features that helps to make life pleasant; social courtesies
165,amiable,agreeable; lovable; warmly friendly
166,amicable,peaceful; politely friendly; not quarrelsome; Ex. amicable settlement
167,amiss,wrong; faulty; Ex. something amiss; ADV.
168,amity,friendship; peaceful relationship as between nations
169,amnesia,loss of memory
170,amnesty,pardon (allowed by government to political criminals)
171,amok(amuck),in a state of rage; Ex. run amok
172,amoral,nonmoral; having no understanding of right and wrong
173,amorous,moved by sexual love; loving; of sexual love; Ex. amorous advances
174,amorphous,formless; lacking shape or definition
175,amphibian,able to live both on land and in water; N.
176,amphitheater,oval building with tiers of seats; CF. arena
177,ample,enough; abundant; spacious; large in size; Ex. ample opportunity/garden; N. amplitude: quality of being ample; abundance; largeness of space
178,amplify,increase in size or effect; expand; broaden or clarify by expanding; intensify; make stronger; Ex. amplify one's remarks with a graph
179,amputate,cut off part of body; prune (a limb)
180,amulet,"charm; talisman; an object worn believed to protect against evil, bad luck"
181,anachronism,an error involving time in a story; something or someone misplaced in time; ADJ. anachronistic
182,analgesia,condition of being unable to feel pain
183,analgesic,causing insensitivity to pain; N.
184,analogous,comparable; similar
185,analogy,similarity; parallelism; comparing two similar things
186,anarchist,person who seeks to overturn the established government; advocate of abolishing authority
187,anarchy,absence of governing body; state of disorder
188,anathema,solemn curse; someone or something regarded as a curse; V. anathematize
189,ancestry,family descent; ADJ. ancestral
190,anchor,secure or fasten firmly; be fixed in place; N. anchorage
191,ancillary,serving as an aid or accessory; auxiliary; N.
192,anecdote,short story of an amusing or interesting event
193,anemia,condition in which blood lacks red corpuscles; ADJ. anemic
194,anesthetic,substance that removes sensation with or without loss of consciousness; N. anesthesia
195,anguish,acute pain; extreme suffering
196,angular,sharp-cornered; having an angle; not rounded (body); bony; lean; gaunt; stiff in manner
197,animadversion,critical remark; V. animadvert: comment critically with disapproval
198,animated,lively; spirited
199,animosity,active enmity
200,animus,hostile feeling or intent; animosity; hostility; disposition
201,annals,records arranged in yearly parts; history
202,anneal,reduce brittleness and improve toughness by heating and cooling (metal or glass)
203,annex,attach; add to a large thing; take possession of; incorporate (territory) into a larger existing political unit (by force); N: building added to a large one
204,annihilate,destroy
205,annotate,comment; make explanatory notes
206,annuity,yearly allowance
207,annul,make void
208,anodyne,drug that relieves pain or trouble;opiate; ADJ. Ex. anodyne statement
209,anoint,consecrate; put oil on (in a religious ceremony)
210,anomalous,abnormal; irregular
211,anomaly,irregularity
212,anonymity,state of being nameless; anonymousness; ADJ. anonymous
213,antagonism,hostility; active opposition; V. antagonize: cause to become an enemy; N. antagonist: person who is opposed to another; opponent; adversary; principal character in oppostion to the protagonist
214,antecede,precede
215,antecedents,preceding events that influence what comes later; ancestors or early background
216,antediluvian,antiquated; extremely ancient
217,anthem,song of praise or patriotism; Ex. national anthem
218,anthology,book of literary selections by various authors; CF. omnibus
219,anthropoid,manlike; resembling a human being; N.
220,anthropologist,student of the history and science of humankind
221,anthropomorphic,having human form or characteristics
222,anticlimax,"letdown in thought or emotion; something unexciting, ordinary, or disappointing coming after something important or exciting"
223,antidote,remedy to counteract a poison or disease; Ex. antidote to the economic troubles
224,antipathy,aversion; dislike or opposition
225,antiquated,obsolete; old-fashioned; outdated
226,antique,made in an earlier period and usu. valuable; N: object that was made in an earlier
227,antiquity,quality of being very old; ancient times;
228,antiseptic,substance that prevents infection in a wound; ADJ.
229,antithesis,contrast; direct opposite of or to; ADJ. antithetic or antithetical
230,antler,bony growth on the head of a deer
231,anvil,iron block used in hammering out metals
232,apathy,lack of caring; indifference; lack of concern or interest in important matters; Ex. He was sunk in apathy after his failure; ADJ. apathetic
233,ape,imitate or mimic (a person's behavior or manner)
234,aperture,opening; hole; adjustable opening in a camera that limits the amount of light
235,apex,tip; summit; climax; highest point
236,aphasia,loss of speech due to injury or illness
237,aphorism,pithy maxim or saying; ADJ. aphoristic
238,apiarist,person who keeps bees
239,apiary,a place where bees are kept
240,apiculture,bee-keeping
241,aplomb,poise; composure in difficult situations; assurance; self-confidence
242,apocalyptic,prophetic; pertaining to revelations especially of disaster; N. apocalypse
243,apocryphal,(of a story) widely believed but untrue
244,apogee,highest point; the point farthest from the earth; OP. perigee
245,apolitical,having an aversion or lack of concern for political affairs
246,apologist,one who writes in defense of a cause or institution; N. apologia
247,apoplexy,stroke; loss of consciousness caused by too much blood in the brain
248,apostate,one who abandons his religious faith or political beliefs; N. apostasy
249,apothecary,druggist; pharmacist
250,apothegm(apophthegm),"pithy, compact saying"
251,apotheosis,elevation to godhood; an ideal example of something
252,appall,dismay; shock deeply
253,apparent,evident; easily seen or understood; appearing as such; Ex. apparent improvement
254,apparition,ghost; phantom
255,appease,pacify or soothe; Ex. appease a crying baby; N. appeasement
256,appellation,name; title
257,append,attach
258,application,diligent attention; diligence; V. apply oneself
259,apposite,appropriate; fitting
260,appraise,estimate value of; N. appraisal
261,appreciate,be thankful for; increase in worth; be thoroughly conscious of; ADJ. appreciable: enough to be felt; Ex. appreciable difference
262,apprehend,arrest (a criminal); dread; perceive; N. apprehension
263,apprehensive,fearful; discerning
264,apprise,inform
265,approbation,approval
266,appropriate,acquire; take possession of for one's own use without permission; set aside for a particular purpose; allocate; CF. misappropriate
267,appurtenances,subordinate possessions; something added to a more important thing
268,apropos,with reference to; regarding; Ex. remarks apropos (of) the present situation; ADJ. ADV.
269,aptitude,fitness; talent
270,aquiline,curved; hooked; of or like an eagle; Ex. aquiline nose
271,arable,fit for growing crops; Ex. arable land
272,arbiter,person with power to decide a matter in dispute; judge who is in a position ot make influential judgments; Ex. supreme arbiter of fashion in beachware
273,arbitrary,unreasonable or capricious; random; tyrannical; Ex. arbitrary ruler
274,arbitrate,act as judge (at the request of both sides)
275,arboreal,of or living in trees
276,arboretum,place where different trees and shrubs are studied and exhibited
277,arcade,a covered passageway usually lined with shops
278,arcane,esoteric; secret; mysterious; known only to the initiated; Ex. arcane ritual; Ex. arcane process closed to the uninitiated listener
279,arch-,chief; first; Ex. archbishop
280,archaeology,study of artifacts and relics of early mankind
281,archaic,antiquated; no longer used; belonging to the past; N.
282,archetype,prototype; primitive pattern
283,archipelago,group of closely located islands
284,archives,public records; place where public records are kept
285,ardor,heat; passion; zeal; ADJ. ardent
286,arduous,hard; strenuous; Ex. arduous work
287,argot,slang; speech spoken by only a small group of people
288,aria,operatic solo; a song sung by one person in an opera or oratorio
289,arid,(of land) dry; barren; unproductive
290,aristocracy,hereditary nobility; privileged class; government by nobility; N. aristocrat
291,armada,fleet of warships
292,aromatic,fragrant; having a sweet smell; N. aroma: strong pleasant smell
293,arraign,charge in court; indict
294,array,marshal; draw up in order; arrange in order; clothe splendidly; adorn; N: fine clothes; ordered group; Ex. in battle array
295,arrears,being in debt; money that should have been paid; work that should have been done
296,arrhythmic,lacking rhythm or regularity; N. arrhythmia
297,arrogance,pride; haughtiness; ADJ. arrogant: unpleasantly self-important (with a strong confidence in one's own importance and a lack of respect for other people)
298,arroyo,gully; narrow channel formed by rainwater
299,arsenal,storage place for military equipment
300,artery,blood-vessel; CF. vein
301,artful,exhibiting art or skill; deceitful; cunning; CF. artifice
302,articulate,effective; distinct; expressing ideas clearly; having clear sounds; having joints; Ex. articulate speech; V: express thoughts and feeling clearly; pronounce clearly; unite by joints
303,artifacts,"object made by human beings, either hand-made or mass-produced"
304,artifice,deception; trickery
305,artisan,a manually skilled worker
306,artless,without guile; open and honest
307,ascendancy,controlling influence; position of controlling influence; CF. in the ascendant
308,ascertain,find out for certain; make certain
309,ascetic,practicing self-denial; avoiding physical pleasures and comforts; austere; Ex. ascetic life of Buddhist monks; N. asceticism
310,ascribe,refer; attribute; assign
311,aseptic,preventing infection; having a cleansing effect
312,ashen,ash-colored; deadly pale
313,asinine,stupid; Ex. asinine remarks
314,askance,with a sideways or indirect look (with disapproval or distruct); Ex. look askance at
315,askew,crookedly; slanted; at an angle
316,asperity,sharpness; roughness; severity (of temper or weather); Ex. asperities of a Russian winter
317,aspersion,slanderous remark; Ex. cast aspersions on
318,aspirant,seeker after position or status
319,aspire,seek to attain (position or status); long for; Ex. aspire to become president; Ex. aspire to/after the leadership
320,assail,assault
321,assay,analyze (to discover what materials are present); evaluate (soil or ore)
322,assent,agree; accept; N. assessment
323,assert,"state strongly or positively; demand recognition of (rights, claims, etc.); make a claim to (by forceful action); Ex. assert one's independence"
324,assiduous,diligent
325,assimilate,absorb; take (food) into the body and digest it; understand (knowledge) completely and be able to use properly; cause to become homogeneous (the people of a country or race in the wasy of behaving or thinking)
326,assuage,mak less severe; ease or lessen (pain); satisfy (hunger); soothe (anger)
327,assumption,something taken for granted; the taking over or taking possession of; Ex. her assumption of power; V. assume
328,assurance,"firm statement that something is certainly true; promise or pledge; certainty; confidence in one's own ability; self-confidence; Ex. In spite of all his assurances, he did not come back; Ex. assurance of his loyalty; Ex. The teacher lacked assuranc"
329,asteroid,small planet
330,astigmatism,eye defect which prevents proper focus; OP. stigmatism
331,astral,relating to the stars
332,astringent,binding; causing contraction (stopping bleeding); harsh or severe; stringent; Ex. astringent criticism
333,astronomical,enormously large or extensive
334,astute,wise; shrewd; keen; seeing quickly something that is to one's advantage
335,asunder,into parts; apart; V. sunder
336,asylum,place of refuge or shelter; protection (religious or political)
337,asymmetric,not identical on both sides of a dividing central line
338,atavism,resemblance to remote ancestors rather than to parents; reversion to an earlier type; throwback; ADJ. atavistic
339,atheistic,denying the existence of God; N. atheism
340,atone,make amends for; pay for; Ex. atone for
341,atrocity,brutal deed; ADJ. atrocious
342,atrophy,wasting away; V: weaken and lose flesh and muscle (through lack of blood or lack of use)
343,attentive,alert and watchful; listening carefully; paying attention; considerate; thoughtful; politely helpful; Ex. attentive audience; Ex. He was attentive to the old lady; N. attentions: act of courtesy and consideration
344,attenuate,make thin; weaken
345,attest,testify; bear witness
346,attire,clothe; N: clothing; array; apparel
347,attribute,essential quality; V: ascribe; explain
348,attrition,rubbing away by friction; gradual decrease in numbers or strength; reduction in the work force without firing employees; wearing away of opposition by means of harassment; Ex. a war of attrition
349,atypical,not normal; not typical
350,audacious,daring; bold; N. audacity
351,audit,examination of accounts of a business; official examination; V.
352,augment,increase; add to
353,augury,omen; prophecy; sign of coming events; V. augur: predict; foretell; be a sign of (something in future)
354,august,impressive; majestic
355,aureole,sun's corona; halo; bright circle of light
356,auroral,pertaining to the aurora borealis; CF. aurora australis
357,auspicious,favoring success; giving signs of future success; Cf. auspices
358,austere,"forbiddingly stern; ascetic; without comfort or enjoyment; severely simple and unornamented; Ex. a monk's austere life; Ex. austere grandeur of the cathedral;
N. austerity"
359,authenticate,prove genuine
360,authoritarian,subordinating the individual to the state; completely dominating another's will; Ex. authoritarian regime/father
361,authoritative,having the weight of authority; regarded as providing knowledge that can be trusted; reliable; peremptory and dictatorial; Ex. authoritative dictionary/manner; CF. definitive
362,autocratic,"having absolute unchecked power; dictatorial; N. autocrat, autocracy"
363,automaton,mechanism that imitates actions of humans; machine that works by itself
364,autonomous,self-governing; N. autonomy
365,autopsy,examination of a dead body; postmortem; V.
366,auxiliary,offering or providing help; additional or subsidiary; N: helper; assistant
367,avalanche,great mass of falling snow and ice
368,avantgarde,group of artists whose work is based on the newest ideas and methods; CF. vanguard
369,avarice,greediness for wealth
370,avenge,take vengence for something or on behalf of someone; Ex. They avenged his death by burning the village; Ex. He swore to avenge his brother; Ex. They avenged themselves on their enemy.
371,aver,state confidently; declare as true
372,averse,reluctant; disinclined; not liking or opposed; Ex. averse to cats/doing the house work
373,aversion,firm dislike
374,avert,prevent; avoid; turn away (eyes or thought); Ex. An accident was averted by his quick thinking; Ex. She averted her eyes from the terrible sight.
375,aviary,enclosure for birds; large cage
376,avid,greedy; extremely eager for; Ex. avid learner; N. avidity
377,avocation,secondary or minor occupation
378,avow,declare openly; N. avowal
379,avuncular,of or like an uncle
380,awe,solemn wonder; feeling of respect mixed with wonder and fear; V: fill with awe; ADJ. awesome
381,awful,terrible; very bad
382,awl,pointed tool used for piercing
383,awry,distorted; crooked; bent; Ex. Our plans have gone awry.
384,axiom,self-evident truth requiring no proof
385,azure,sky blue
386,bacchanal,noisy party with a lot of drinking
387,bacchanalia,the ancient Roman festival in honor of Bacchus
388,bacchanalian,drunken
389,backslide,revert (to bad habits); N. reverter
390,backwards,and forwards; Ex. reciprocate his invitation by inviting him; N. reciprocity: reciprocal relationship; mutual interchange of advantages between two groups; Ex. reciprocity in trading rights
391,badger,pester; annoy continually with demands; persuade by asking again and again; Ex. The children badgered me into taking them into the cinema; N: a kind of mountain animal
392,badinage ,teasing conversation; banter; joking talk
393,baffle,frustrate; perplex
394,bait,harass; tease; torment; Ex. badger baiting; N: food or other lure used to catch fish or trap animals
395,baleful,evil; malignant in intent or effect; deadly; having a malign influence; portending evil; ominous; threatening; Ex. baleful look
396,balk,"stop short, as if faced with an obstacle, and refuse to continue; foil; stop or get in the way of; frustrate"
397,ballast,heavy substance used to add stability or weight; V. supply with ballast
398,balm,something that relieves pain; oily liquid with a pleasant smell from trees
399,balmy,soft and mild (of air); fragrant
400,banal,hackneyed; commonplace; trite; lacking originality; clich\'ed
401,bandy,discuss lightly or glibly; discuss in a frivolous manner; exchange (words) heatedly; quarrel; Ex. bandy words with
402,bane,posion; cause of ruin; ADJ. baneful: harmful; poisonous
403,bank,heap; piled-up mass; embankment; lateral tilting (as of an aircraft in turning); V: pile up; protect with a bank; tilt in turning
404,bantering,joking talk; good-naturedly ridiculing; N.V. banter
405,bar,railing in a courtroom; legal profession; vertical line dividing a staff into equal measures; Ex. prisoner at the bar; V: shut in or out with bars; forbid; exclude; CF. barrister
406,barb,"sharp projection from fishhook, arrow, or other object; openly cutting remark"
407,bard,poet
408,barefaced,shameless and noticeable; blatant; bold; unconcealed; having no covering on the face; Ex. barefaced lie
409,bargain,agreement between two groups or people; something for sale at a price advantageous to the buyer; V: negotiate; trade; Ex. bargaining power
410,baroque,highly ornate
411,barrage,barrier laid down by artillery fire; overwhelming profusion; large number of questions or statements; Ex. a barrage of criticism
412,barrister,counselor-at-law or lawyer in the higher court of law; CF. bar
413,barterer,trader; V. barter: trade; exchange good for other goods rather than money
414,base,contemptible; morally bad; inferior in value or quality; Ex. base motives/conduct; Ex. base metal such as iron
415,bask,luxuriate; take pleasure in warmth
416,bastard,illegitimate child
417,bastion,stronghold; something seen as a source of protection; Ex. the last bastion of male chauvinism
418,bate,let down; lessen the force of; moderate; restrain; Ex. with bated breath; CF. abate
419,battalion,army unit made up of four or more companies
420,bauble,trinket; cheap jewel; trifle
421,bawdy,indecent; obscene; about sex in a rude funny way; CF. bawd
422,bearing,deportment; connection
423,beatific,giving or showing bliss; blissful
424,beatitude,blessedness; state of great happiness
425,bedizen,dress with vulgar finery
426,bedraggle,wet thoroughly; ADJ. bedraggled: draggled
427,beeline,direct quick route
428,befuddle,confuse thoroughly
429,beget,father; become the father of; produce; give rise to
430,begrudge,envy; give or allow unwillingly; grudge; Ex. We shouldn't begrudge him his success.
431,beguile,deceive; mislead or delude; cheat; pass time pleasantly; charm or attract; Ex. beguiling smile
432,behemoth,huge creature; something of monstrous size or power
433,beholden,obligated; indebted; owing thanks; obliged or indebted from gratitude
434,behoove(behove),be suited to; be incumbent upon; be right and necessary; Ex. It behooves one to do.
435,belabor,harp on; dwell on tediously; explain or go over excessively or to a ridiculous degree; assail verbally; beat severely; attack physically
436,belated,delayed
437,beleaguer,besiege or attack (with an army); harass; beset
438,belie,contradict; give a false impression; disguise; Ex. The poor sales belied our high hopes; Ex. Her smile belies her true feeling of displeasure.
439,belittle,disparage; depreciate
440,bellicose,warlike
441,belligerent,quarrelsome
442,bemoan,lament; moan for; express sorrow or disapproval of
443,bemused,confused; lost in thought; preoccupied
444,benediction,blessing
445,benefactor,gift giver; patron; person who does good or who gives money for a good purpose
446,beneficent,kindly; doing good
447,beneficial,helpful; useful; advantageous
448,beneficiary,person entitled to benefits or proceeds of an insurance policy or will
449,benefit,"advantage; anything that brings helpl, advantage, or profit; money provided by the government to the people; fund-raising public entertainment; Ex. unemployment benefit; V: receive benefits; be beneficial to; give benefits"
450,benevolent,generous; charitable; having a wish to do good
451,benign,kindly; favorable; not malignant (disease); Ex. benign tumor
452,benison,blessing
453,bent,determined; Ex. bent on advancing in the business; N: natural talent or inclination
454,bequeath,leave to someone by means of a will; hand down in his will; N. bequest
455,berate,scold strongly
456,bereaved,deprived of (someone beloved through death)
457,bereavement,state of being deprived of something valuable or beloved; state of being bereaved or bereft
458,bereft,deprived of (something valuable); lacking
459,berserk,mad with violent anger; frenzied; madly excited
460,beseech,beg; plead with
461,beset,harass or trouble from all directions; hem in
462,besiege,surround with armed forces; harass (with requests); annoy continually
463,besmirch,soil; defile; make dirty
464,bestial,beastlike; brutal; inhuman; very cruel
465,bestow,confer
466,betoken,signify; indicate; be a sign of
467,betray,be unfaithful; reveal (unconsciously or unwillingly); Ex. Her trembling hands betray her anxiety.
468,betroth,become engaged to marry
469,bevy,large group; Ex. a bevy of starlets
470,beware,be cautious (of)
471,bewitch,cast a spell over; captivate completely
472,bicameral,two-chambered as a legislative body
473,bicker,quarrel
474,bid,command; utter (a greeting); offer as a price; N: offer of a price; amount offered; earnest effort to gain something; Ex. bid for freedom
475,biennial,every two years
476,bifurcated,divided into two branches; forked
477,bigot,one who is intolerant (in matters of religion or politics)
478,bigotry,stubborn intolerance
479,bilious,suffering from indigestion; sick from having too much bile; irritable; easily irritated
480,bilk,swindle; cheat
481,billow,"large wave of water; a great swell or surge (of smoke); V: surge, swell, roll in billows"
482,billowing,swelling out in waves; surging
483,biting,sharply painful to the body or mind; Ex. biting wind/remarks
484,bitter,"having a sharp biting taste; 敬; causing sharp pain to the body or mind; filled with resentment, disappointment, or other unpleasant feelings; Ex. bitter wind/sorrow/tears"
485,bivouac,temporary encampment; camp without tents; V.
486,bizarre,fantastic; violently contrasting; noticeably odd; strikingly unconventional
487,blackball,vote against (an applicant); ostracize; N: negative vote
488,blanch,bleach; whiten; make white or pale
489,bland,soothing or mild (food); agreeable; causing no trouble or offence
490,blandishment,flattery
491,blare,loud or harsh roar or screech; dazzling blaze of light
492,blase,bored with pleasure or dissipation; uninterested or bored
493,blasphemy,irreverence; sacrilege; cursing; bad language about God or holy things; V.
494,blatant,extremely (offensively) obvious; loudly offensive; Ex. blatant lie; N. blatancy
495,bleak,cold or cheerless; frigid; unlikely to be favorable; depressing
496,blemish,mar; spoil the beauty or perfection of; N: flaw or defect (that spoils perfection); Ex. blemishes in the crystal; CF. unblemished
497,blight,plant disease; V: infect with blight; ruin; destroy
498,blighted,suffering from a disease; destroyed
499,bliss,complete happiness; ADJ. blissful
500,blithe(blithesome),gay; joyous
501,bloated,(unpleasantly) swollen or puffed as with water or air
502,blotch,spot; blot; CF. blot+botch
503,blowhard,talkative boaster; braggart
504,bludgeon,club; heavy-headed weapon; V.
505,blue,gloomy; depressed
506,blues,"state of depression or melancholy; style of slow, mournful music (evolved from southern Black American songs)"
507,bluff,pretense (of strength); deception; high cliff; ADJ: rough but good- natured
508,blunder,error; stupid mistake
509,blunt,having a dull edge; abrupt and frank in speech or manner; brusque; V: make or become blunt
510,blurt,utter impulsively from nervousness or excitement
511,blush,become red in the face (from embarrassment or shame); become red or rosy; N.
512,bluster,"blow in heavy gusts; threaten emptily; bully; speak in a noisy or bullying manner; CF. breeze, gust, gale"
513,bode,foreshadow; portend
514,bog,soft wet land; V: hinder or be hindered; Ex. bogged down in the mud
515,bogus,counterfeit; not authentic; intentionally false; Ex. bogus interview
516,Bohemian,unconventional (in an artistic way)
517,boisterous,violent; rough; noisy
518,bolster,support; reinforce
